,xcoordinate,ycoordinate,Landmark,ScreenshotNo
350,1031.762887,408.2644921,tyre and tube repair,9
351,1033.45082,409.9524252,tyre and tube repair,9
352,1041.890485,310.3643738,shubham tyres,9
353,1038.514619,313.74024,shubham tyres,9
354,1045.266351,312.0523069,shubham tyres,9
355,1038.514619,308.6764408,shubham tyres,9
356,1038.514619,312.0523069,shubham tyres,9
357,1040.202552,313.74024,shubham tyres,9
358,1025.011154,210.7763225,novelty telecom,9
359,1021.635288,215.8401217,novelty telecom,9
360,1026.699087,210.7763225,novelty telecom,9
361,1021.635288,210.7763225,novelty telecom,9
362,1025.011154,214.1521886,novelty telecom,9
363,1025.011154,207.4004563,novelty telecom,9
364,923.7351698,210.7763225,the french street,9
365,922.0472368,215.8401217,the french street,9
366,925.4231029,209.0883894,the french street,9
367,923.7351698,212.4642555,the french street,9
368,925.4231029,212.4642555,the french street,9
369,918.6713706,212.4642555,the french street,9
370,354.9017238,247.9108501,ifl gold loan,9
371,353.2137908,251.2867162,ifl gold loan,9
372,356.5896569,251.2867162,ifl gold loan,9
373,353.2137908,251.2867162,ifl gold loan,9
374,353.2137908,249.5987832,ifl gold loan,9
375,356.5896569,247.9108501,ifl gold loan,9
376,1028.38702,558.4905357,amrapali,10
377,1025.011154,561.8664019,amrapali,10
378,1031.762887,560.1784688,amrapali,10
379,1026.699087,560.1784688,amrapali,10
380,1026.699087,558.4905357,amrapali,10
381,1031.762887,563.554335,amrapali,10
382,366.7172554,345.8109684,isi transport unit,10
383,365.0293223,349.1868345,isi transport unit,10
384,366.7172554,349.1868345,isi transport unit,10
385,363.3413892,349.1868345,isi transport unit,10
386,363.3413892,345.8109684,isi transport unit,10
387,365.0293223,345.8109684,isi transport unit,10
388,446.0501099,197.2728579,isi green house,10
389,442.6742437,202.3366571,isi green house,10
390,447.7380429,200.648724,isi green house,10
391,444.3621768,198.9607909,isi green house,10
392,446.0501099,195.5849248,isi green house,10
393,446.0501099,198.9607909,isi green house,10
394,358.27759,776.2339023,isi football court,10
395,356.5896569,779.6097685,isi football court,10
396,358.27759,777.9218354,isi football court,10
397,354.9017238,777.9218354,isi football court,10
398,359.9655231,776.2339023,isi football court,10
399,359.9655231,781.2977015,isi football court,10
400,749.8780632,175.3297279,amrapali,11
401,746.5021971,178.7055941,amrapali,11
402,751.5659963,175.3297279,amrapali,11
403,746.5021971,173.6417948,amrapali,11
404,754.9418624,177.017661,amrapali,11
405,748.1901301,177.017661,amrapali,11
406,78.08069968,386.3213622,isi football court,11
407,76.70483353,389.6972283,isi football court,11
408,78.08069968,389.6972283,isi football court,11
409,76.3927666,388.0092953,isi football court,11
410,79.76863275,388.0092953,isi football court,11
411,79.76863275,390.1368937,isi football court,11
412,74.70483353,381.257563,isi football court,11
413,77.70483353,388.6334291,isi football court,11
414,1094.21641,747.5390401,isi nursery,11
415,1092.528477,750.9149062,isi nursery,11
416,1095.904343,750.9149062,isi nursery,11
417,1092.528477,749.2269731,isi nursery,11
418,1097.592276,749.2269731,isi nursery,11
419,1092.528477,752.6028393,isi nursery,11
420,1094.21641,752.6028393,isi nursery,11
421,383.5965861,739.0993747,amrapali,12
422,381.908653,742.4752408,amrapali,12
423,383.5965861,742.4752408,amrapali,12
424,381.908653,742.4752408,amrapali,12
425,381.908653,739.0993747,amrapali,12
426,381.908653,745.851107,amrapali,12
427,383.5965861,742.4752408,amrapali,12
428,1168.485466,658.0785871,janta auto centre,12
429,1165.109599,663.1423863,janta auto centre,12
430,1168.485466,659.7665202,janta auto centre,12
431,1163.421666,658.0785871,janta auto centre,12
432,1163.421666,659.7665202,janta auto centre,12
433,1165.109599,659.7665202,janta auto centre,12
434,1225.87519,465.6542167,dj gagcix,12
435,1224.187257,467.3421497,dj gagcix,12
436,1229.251056,467.3421497,dj gagcix,12
437,1229.251056,463.9662836,dj gagcix,12
438,1220.811391,463.9662836,dj gagcix,12
439,1224.187257,465.6542167,dj gagcix,12
440,1222.499324,396.4489606,ujjivan small finance bank barrackpur,12
441,1219.123458,399.8248268,ujjivan small finance bank barrackpur,12
442,1222.499324,396.4489606,ujjivan small finance bank barrackpur,12
443,1219.123458,396.4489606,ujjivan small finance bank barrackpur,12
444,1224.187257,399.8248268,ujjivan small finance bank barrackpur,12
445,1219.123458,399.8248268,ujjivan small finance bank barrackpur,12
446,1057.081883,229.3435863,surendra motor,12
447,1055.39395,232.7194524,surendra motor,12
448,1060.457749,231.0315194,surendra motor,12
449,1053.706017,231.0315194,surendra motor,12
450,1053.706017,227.6556532,surendra motor,12
451,1058.769816,232.7194524,surendra motor,12
